seed,scenario,outcome,completion,collision,timeout,cross_road_overlap_any,cross_road_overlap_steps,cross_road_overlap_duration_s,max_simultaneous_merge_vehicles,min_crossroad_x_gap,min_crossroad_euclidean_gap,min_crossroad_clearance_m,min_crossroad_crossing_gap_x300,min_crossroad_crossing_gap_x380,front_pair_crossing_gap_x300,front_pair_crossing_gap_x380,rear_pair_crossing_gap_x300,rear_pair_crossing_gap_x380,min_projected_ttc_gap_s,any_BRAKE_action,total_BRAKE_actions,any_negative_acceleration,any_hard_brake_event,total_hard_brake_events,C_brake,any_below_target_burden,C_mean,U_mean,U_min,Utility_Gini,utility_range,worst_off_identity,role_V0,role_V1,role_V2,role_V3,ttc_slot_V0,ttc_slot_V1,ttc_slot_V2,ttc_slot_V3,U_V0,U_V1,U_V2,U_V3,C_V0,C_V1,C_V2,C_V3
920105,H1_00000,collision,0,1,0,1,31,6.2,4,5.3309,6.9393,0.3309,0.1911,0.189,0.3597,0.3603,0.1911,0.189,0.0262,1,21,1,0,0,0.080203,0,0.0,0.5,0.0,0.5,1.0,V1,ramp,ramp,mainline,mainline,front,rear,front,rear,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
920105,H1_00001,collision,0,1,0,1,32,6.4,4,2.6633,4.8053,-2.3367,0.1553,0.088,0.3723,0.373,0.1553,0.088,0.0135,1,31,1,1,1,0.330627,0,0.0,0.5,0.0,0.5,1.0,V1,ramp,ramp,mainline,mainline,front,rear,front,rear,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
920105,H1_00002,success,1,0,0,1,34,6.8,4,0.9827,8.0712,-4.0173,0.3869,0.236,0.3869,0.502,1.2521,1.2512,0.0187,1,21,1,0,0,0.034851,1,0.099222,0.993472,0.973889,0.004928,0.026111,V3,ramp,ramp,mainline,mainline,front,rear,front,rear,1.0,1.0,1.0,0.973889,0.0,0.0,0.0,0.396887
920105,H1_00003,success,1,0,0,1,31,6.2,4,0.6632,4.0766,-4.3368,0.0393,0.1265,0.2304,0.2298,0.0393,0.1265,0.0221,1,43,1,0,0,0.331035,1,0.008332,0.999339,0.997355,0.000496,0.002645,V2,ramp,ramp,mainline,mainline,rear,front,front,rear,1.0,1.0,0.997355,1.0,0.0,0.0,0.033329,0.0
920105,H1_00004,success,1,0,0,1,31,6.2,4,6.1484,7.2854,1.1484,0.205,0.2053,0.414,0.4153,0.205,0.2053,0.0788,0,0,1,0,0,0.035135,0,0.0,1.0,1.0,0.0,0.0,V0,ramp,ramp,mainline,mainline,front,rear,front,rear,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
920105,H1_00005,collision,0,1,0,1,32,6.4,4,1.2919,4.2032,-3.7081,0.1616,0.0379,0.3654,0.3672,0.1616,0.0379,0.0264,1,27,1,1,1,0.380494,0,0.0,0.5,0.0,0.5,1.0,V1,ramp,ramp,mainline,mainline,front,rear,rear,front,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
920105,H1_00006,success,1,0,0,1,31,6.2,4,5.836,7.0256,0.836,0.1946,0.1948,0.4106,0.4125,0.1946,0.1948,0.0009,1,3,1,0,0,0.035775,0,0.0,1.0,1.0,0.0,0.0,V1,ramp,ramp,mainline,mainline,rear,front,rear,front,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
920105,H1_00007,success,1,0,0,1,31,6.2,4,0.4892,4.0671,-4.5108,0.0364,0.1264,0.2826,0.283,0.0364,0.1264,0.017,1,33,1,0,0,0.299788,1,0.00711,0.999445,0.997778,0.000417,0.002222,V1,ramp,ramp,mainline,mainline,rear,front,front,rear,1.0,0.997778,1.0,1.0,0.0,0.02844,0.0,0.0
920105,H1_00008,success,1,0,0,1,35,7.0,4,3.6911,11.0877,-1.3089,0.5449,0.5884,0.5449,0.5884,1.2878,1.2869,0.2014,0,0,1,0,0,0.023202,1,0.099222,0.993472,0.973889,0.004928,0.026111,V2,ramp,ramp,mainline,mainline,rear,front,rear,front,1.0,1.0,0.973889,1.0,0.0,0.0,0.396887,0.0
920105,H1_00009,collision,0,1,0,1,31,6.2,4,0.0011,3.949,-4.9989,0.0011,0.1377,0.1381,0.1377,0.0011,,0.0035,1,56,1,1,3,2.121631,1,0.04264,0.499644,0.0,0.500009,0.999323,V1,ramp,ramp,mainline,mainline,rear,front,rear,front,0.999323,0.0,0.999252,0.0,0.006906,0.066444,0.007632,0.089577
