seed,bank,U_mean,U_min,utility_gini,C_mean,burden_gini,burden_range,completion,collision,timeout
900101,H0,0.9921875,0.984375,0.0078125,0.0,,0.0,0.984375,0.015625,0.0
900102,H0,0.9988958740453666,0.9961856006885893,0.0007509271453562857,0.01467996191047509,0.6782512333033877,0.05054822797178939,1.0,0.0,0.0
900103,H0,0.796875,0.59375,0.203125,0.0,,0.0,0.59375,0.40625,0.0
900104,H0,0.984375,0.96875,0.015625,0.0,,0.0,0.96875,0.03125,0.0
910101,H0,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0
910102,H0,0.5224087540056257,0.042847572343571345,0.4773388125455924,0.030403175440774612,0.5990442788929818,0.09821547620137132,0.046875,0.953125,0.0
920101,H0,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0
920102,H0,0.9764941506394325,0.952862759020512,0.023487776788427117,0.0009582531756622903,0.7457547764377644,0.0037637257041031424,0.953125,0.046875,0.0
920103,H0,0.998046875,0.99609375,0.001953125,0.0,,0.0,0.99609375,0.00390625,0.0
920104,H0,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0
920105,H0,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0
920106,H0,0.9976971813592224,0.9947782583374345,0.0022053581969641257,0.004959310716391907,0.7401684373387623,0.018541961260785753,0.99609375,0.00390625,0.0
900101,H1,0.99609375,0.9921875,0.00390625,0.0,,0.0,0.9921875,0.0078125,0.0
900102,H1,0.9898955191708986,0.981079251373143,0.005045403604548157,0.13048860810920854,0.5503442336925306,0.22969325009370767,0.99609375,0.00390625,0.0
900103,H1,0.9882093226473077,0.9762747905892302,0.011772738306414201,0.0010783594228375448,0.75,0.004313437691350179,0.9765625,0.0234375,0.0
900104,H1,0.982421875,0.96484375,0.017578125,0.0,,0.0,0.9609375,0.0390625,0.0
910101,H1,0.9941077687190576,0.9881498248762304,0.005884028472294606,0.0004244438807961396,0.75,0.0016977755231845585,0.98828125,0.01171875,0.0
910102,H1,0.517426945808815,0.03515625,0.4824654776484407,0.0014938780572196287,0.7049564508027506,0.004704047879107942,0.03515625,0.96484375,0.0
920101,H1,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0
920102,H1,0.9666229279766327,0.9330041889706947,0.03332688809238825,0.0023736746306161046,0.7483624407928499,0.009467930419112144,0.93359375,0.06640625,0.0
920103,H1,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0
920104,H1,0.9997511338519341,0.9990045354077368,0.00018675046768181066,0.0035163430670995107,0.75,0.014065372268398043,1.0,0.0,0.0
920105,H1,0.9860323048331937,0.9720088211339595,0.013848665971421738,0.005146242185247216,0.6942356698288285,0.014856944803728567,0.97265625,0.02734375,0.0
920106,H1,0.9889746480726137,0.9776768356235785,0.010439121799732488,0.017717687952936302,0.5446243520112235,0.03995166345438972,0.98046875,0.01953125,0.0
