run_id,condition,seed,bank,scenario_id,traffic_type,term_reason,completion,collision,timeout,mean_U,min_U,min_U_vehicle,min_U_role,min_U_speed_class,ggi,gini,C_max,C_mean,episode_length,role_V0,speed_class_V0,U_V0,C_V0,role_V1,speed_class_V1,U_V1,C_V1,role_V2,speed_class_V2,U_V2,C_V2,role_V3,speed_class_V3,U_V3,C_V3
c64_920103,c64,920103,H1,H1_00000,heterogeneous,success,1,0,0,0.9936432588100338,0.9745730352401352,V3,mainline,slow,0.9898292140960541,0.004798055891995062,0.38648986434994603,0.09662246608748651,76,ramp,slow,1.0,0.0,ramp,fast,1.0,0.0,mainline,fast,1.0,0.0,mainline,slow,0.9745730352401352,0.38648986434994603
c64_920103,c64,920103,H1,H1_00001,heterogeneous,success,1,0,0,0.9964231354642314,0.9856925418569256,V3,mainline,slow,0.9942770167427702,0.0026922783166577285,0.20888888888888815,0.05222222222222204,73,ramp,slow,1.0,0.0,ramp,fast,1.0,0.0,mainline,fast,1.0,0.0,mainline,slow,0.9856925418569256,0.20888888888888815
c64_920103,c64,920103,H1,H1_00002,heterogeneous,success,1,0,0,0.9936145518962831,0.9768280290956861,V3,mainline,fast,0.9900202651851083,0.004521731671898311,0.389289111192475,0.10715703706691755,84,ramp,slow,1.0,0.0,ramp,fast,0.9976301784894461,0.03933903707519522,mainline,slow,1.0,0.0,mainline,fast,0.9768280290956861,0.389289111192475
c64_920103,c64,920103,H1,H1_00003,heterogeneous,success,1,0,0,0.998974728407425,0.9958989136296997,V1,ramp,fast,0.9983595654518799,0.0007697428899499523,0.05167368826578389,0.012918422066445973,69,ramp,slow,1.0,0.0,ramp,fast,0.9958989136296997,0.05167368826578389,mainline,fast,1.0,0.0,mainline,slow,1.0,0.0
c64_920103,c64,920103,H1,H1_00004,heterogeneous,collision,0,1,0,0.9926801162054935,0.9707204648219738,V1,ramp,slow,0.9882881859287895,0.00553039469236578,0.38648986434994603,0.09662246608748651,66,ramp,fast,1.0,0.0,ramp,slow,0.9707204648219738,0.38648986434994603,mainline,slow,1.0,0.0,mainline,fast,1.0,0.0
c64_920103,c64,920103,H1,H1_00005,heterogeneous,success,1,0,0,0.9964231354642314,0.9856925418569256,V1,ramp,slow,0.9942770167427702,0.0026922783166577285,0.20888888888888815,0.05222222222222204,73,ramp,fast,1.0,0.0,ramp,slow,0.9856925418569256,0.20888888888888815,mainline,fast,1.0,0.0,mainline,slow,1.0,0.0
c64_920103,c64,920103,H1,H1_00006,heterogeneous,success,1,0,0,0.9902265748426419,0.9618419252849981,V0,ramp,slow,0.9844560823396701,0.00728430827041883,0.5952659655540302,0.15181049431468543,78,ramp,slow,0.9618419252849981,0.5952659655540302,ramp,fast,0.9990643740855694,0.011976011704711543,mainline,fast,1.0,0.0,mainline,slow,1.0,0.0
c64_920103,c64,920103,H1,H1_00007,heterogeneous,success,1,0,0,0.9964840594401398,0.9859362377605592,V2,mainline,fast,0.9943744951042237,0.0026462595110419446,0.19126716645639663,0.04781679161409916,71,ramp,slow,1.0,0.0,ramp,fast,1.0,0.0,mainline,fast,0.9859362377605592,0.19126716645639663,mainline,slow,1.0,0.0
c64_920103,c64,920103,H1,H1_00008,heterogeneous,success,1,0,0,0.9935843302130923,0.9782021900752537,V2,mainline,fast,0.9901214152632363,0.004356594156825967,0.3662032067357397,0.10739676549776012,84,ramp,fast,0.9961351307771158,0.0633838552553008,ramp,slow,1.0,0.0,mainline,fast,0.9782021900752537,0.3662032067357397,mainline,slow,1.0,0.0
c64_920103,c64,920103,H1,H1_00009,heterogeneous,success,1,0,0,0.9981979383203268,0.9927917532813069,V3,mainline,fast,0.9971167013125227,0.0013539862264484509,0.0980321553742279,0.024508038843556974,69,ramp,slow,1.0,0.0,ramp,fast,1.0,0.0,mainline,slow,1.0,0.0,mainline,fast,0.9927917532813069,0.0980321553742279
c64_920103,c64,920103,H1,H1_00010,heterogeneous,success,1,0,0,0.998974728407425,0.9958989136296997,V0,ramp,fast,0.9983595654518799,0.0007697428899499523,0.05167368826578389,0.012918422066445973,70,ramp,fast,0.9958989136296997,0.05167368826578389,ramp,slow,1.0,0.0,mainline,fast,1.0,0.0,mainline,slow,1.0,0.0
c64_920103,c64,920103,H1,H1_00011,heterogeneous,success,1,0,0,0.9976737818574498,0.9917501869133867,V2,mainline,fast,0.9963835569202785,0.0016165415998619975,0.12044727106455451,0.033910031907053204,73,ramp,slow,1.0,0.0,ramp,fast,0.9989449405164126,0.015192856563658298,mainline,fast,0.9917501869133867,0.12044727106455451,mainline,slow,1.0,0.0
c64_920103,c64,920103,H1,H1_00012,heterogeneous,success,1,0,0,0.9937131895449667,0.9791703756790097,V0,ramp,fast,0.9903728650218611,0.004201821710542145,0.32910806427164874,0.0986839625646555,79,ramp,fast,0.9791703756790097,0.32910806427164874,ramp,slow,1.0,0.0,mainline,fast,0.995682382500857,0.06562778598697326,mainline,slow,1.0,0.0
c64_920103,c64,920103,H1,H1_00013,heterogeneous,success,1,0,0,0.9972128894962833,0.9888515579851334,V2,mainline,fast,0.9955406231940533,0.0020961751495644767,0.1493891229992128,0.0373472807498032,70,ramp,fast,1.0,0.0,ramp,slow,1.0,0.0,mainline,fast,0.9888515579851334,0.1493891229992128,mainline,slow,1.0,0.0
c64_920103,c64,920103,H1,H1_00014,heterogeneous,success,1,0,0,0.993725813890423,0.9749032555616919,V2,mainline,slow,0.9899613022246768,0.004735350049688512,0.38648986434994603,0.09662246608748651,77,ramp,slow,1.0,0.0,ramp,fast,1.0,0.0,mainline,slow,0.9749032555616919,0.38648986434994603,mainline,fast,1.0,0.0
c64_920103,c64,920103,H1,H1_00015,heterogeneous,success,1,0,0,0.9902723863800682,0.9618419252849981,V3,mainline,slow,0.9845110561845817,0.00727240589903128,0.5952659655540302,0.15118648764739268,78,ramp,fast,1.0,0.0,ramp,slow,1.0,0.0,mainline,fast,0.9992476202352746,0.009479985035540529,mainline,slow,0.9618419252849981,0.5952659655540302
c64_920103,c64,920103,H1,H1_00016,heterogeneous,success,1,0,0,0.999006275225658,0.9960251009026319,V1,ramp,fast,0.9984100403610527,0.0007460349341531198,0.05167368826578389,0.012918422066445973,71,ramp,slow,1.0,0.0,ramp,fast,0.9960251009026319,0.05167368826578389,mainline,slow,1.0,0.0,mainline,fast,1.0,0.0
c64_920103,c64,920103,H1,H1_00017,heterogeneous,collision,0,1,0,0.5,0.0,V2,mainline,fast,0.30000000000000004,0.5,0.23736768027633728,0.05934192006908432,33,ramp,fast,1.0,0.0,ramp,slow,1.0,0.0,mainline,fast,0.0,0.23736768027633728,mainline,slow,0.0,0.0
c64_920103,c64,920103,H1,H1_00018,heterogeneous,success,1,0,0,0.990396078764521,0.9623249388889855,V3,mainline,slow,0.9847077884063238,0.0071793124995168135,0.5952659655540302,0.15118648764739268,79,ramp,slow,1.0,0.0,ramp,fast,1.0,0.0,mainline,fast,0.9992593761690984,0.009479985035540529,mainline,slow,0.9623249388889855,0.5952659655540302
c64_920103,c64,920103,H1,H1_00019,heterogeneous,success,1,0,0,0.9902723863800682,0.9618419252849981,V3,mainline,slow,0.9845110561845817,0.00727240589903128,0.5952659655540302,0.15118648764739268,78,ramp,slow,1.0,0.0,ramp,fast,1.0,0.0,mainline,fast,0.9992476202352746,0.009479985035540529,mainline,slow,0.9618419252849981,0.5952659655540302
c64_920103,c64,920103,H1,H1_00020,heterogeneous,success,1,0,0,0.9936432588100338,0.9745730352401352,V2,mainline,slow,0.9898292140960541,0.004798055891995062,0.38648986434994603,0.09662246608748651,76,ramp,slow,1.0,0.0,ramp,fast,1.0,0.0,mainline,slow,0.9745730352401352,0.38648986434994603,mainline,fast,1.0,0.0
c64_920103,c64,920103,H1,H1_00021,heterogeneous,success,1,0,0,0.9902753253635241,0.9618419252849981,V0,ramp,slow,0.9845145829647288,0.007271642354464181,0.5952659655540302,0.15118648764739268,78,ramp,slow,0.9618419252849981,0.5952659655540302,ramp,fast,0.9992593761690984,0.009479985035540529,mainline,slow,1.0,0.0,mainline,fast,1.0,0.0
c64_920103,c64,920103,H1,H1_00022,heterogeneous,success,1,0,0,0.9941525387932818,0.9790997929395786,V3,mainline,fast,0.990893025845896,0.004098356162906131,0.3385833543788276,0.0944799077721897,81,ramp,slow,1.0,0.0,ramp,fast,0.9975103622335486,0.039336276709931256,mainline,slow,1.0,0.0,mainline,fast,0.9790997929395786,0.3385833543788276
c64_920103,c64,920103,H1,H1_00023,heterogeneous,success,1,0,0,0.9925806778164301,0.9744770842632063,V0,ramp,fast,0.9885445218060368,0.005082906735692822,0.4134712349360561,0.11977758207408354,81,ramp,fast,0.9744770842632063,0.4134712349360561,ramp,slow,1.0,0.0,mainline,slow,1.0,0.0,mainline,fast,0.9958456270025141,0.06563909336027805
c64_920103,c64,920103,H1,H1_00024,heterogeneous,collision,0,1,0,0.9926801162054935,0.9707204648219738,V3,mainline,slow,0.9882881859287895,0.00553039469236578,0.38648986434994603,0.09662246608748651,66,ramp,slow,1.0,0.0,ramp,fast,1.0,0.0,mainline,fast,1.0,0.0,mainline,slow,0.9707204648219738,0.38648986434994603
c64_920103,c64,920103,H1,H1_00025,heterogeneous,success,1,0,0,0.9904604813212495,0.9618419252849981,V0,ramp,slow,0.9847367701139993,0.0072235481818706615,0.5952659655540302,0.14881649138850755,78,ramp,slow,0.9618419252849981,0.5952659655540302,ramp,fast,1.0,0.0,mainline,slow,1.0,0.0,mainline,fast,1.0,0.0
